,RANK,Team,CONFERENCE,DIVISION,WIN,LOSS,W/L%,MARGIN,OFFR,DEFR,NETR,MOV/A,ORtg/A,DRtg/A,NRtg/A
2021,15,Memphis Grizzlies,W,SW,38,34,0.528,1.03,112.77,111.77,1,1.07,112.69,111.63,1.06
2021,16,Boston Celtics,E,A,36,36,0.5,1.46,114.66,113.29,1.37,1.32,114.69,113.47,1.22
2021,17,Indiana Pacers,E,C,34,38,0.472,-0.04,112.98,112.96,0.02,-0.12,112.99,113.07,-0.08
2021,18,Washington Wizards,E,SE,34,38,0.472,-1.83,111.75,113.63,-1.88,-1.84,111.79,113.69,-1.91
2021,19,San Antonio Spurs,W,SW,33,39,0.458,-1.74,111.61,113.35,-1.74,-1.58,111.59,113.17,-1.57
2021,20,Charlotte Hornets,E,SE,33,39,0.458,-1.93,111.62,113.69,-2.07,-1.94,111.66,113.75,-2.08
2021,21,New Orleans Pelicans,W,SW,31,41,0.431,-0.29,114.47,114.78,-0.32,-0.2,114.52,114.73,-0.21
2021,22,Chicago Bulls,E,C,31,41,0.431,-0.89,111.9,112.81,-0.91,-0.94,111.9,112.87,-0.97
2021,23,Sacramento Kings,W,P,31,41,0.431,-3.68,114.4,118,-3.6,-3.45,114.59,117.94,-3.36
2021,24,Toronto Raptors,E,A,27,45,0.375,-0.47,112.96,113.44,-0.48,-0.54,113,113.55,-0.56
2021,25,Minnesota Timberwolves,W,NW,23,49,0.319,-5.56,110.18,115.55,-5.36,-5.25,110.26,115.31,-5.05
2021,26,Cleveland Cavaliers,E,C,22,50,0.306,-8.44,106.85,115.65,-8.8,-8.19,106.96,115.51,-8.55
2021,27,Oklahoma City Thunder,W,NW,22,50,0.306,-10.64,104.32,114.8,-10.48,-10.13,104.36,114.32,-9.96
2021,28,Orlando Magic,E,SE,21,51,0.292,-9.31,105.74,115.22,-9.48,-9.02,105.83,115.03,-9.2
2021,29,Detroit Pistons,E,C,20,52,0.278,-4.47,108.9,113.53,-4.63,-4.38,108.93,113.48,-4.55
2021,30,Houston Rockets,W,SW,17,55,0.236,-7.9,107.85,115.69,-7.84,-7.5,107.93,115.35,-7.42
